New Name                         Original Name
-------------------------------------------------------------------------------
eu.siacs.conversations.voicerecorder.n   public final android.support.v4.BuildConfig
android.support.v4.app.DialogFragment$g  abstract interface android.support.v4.app.DialogFragment$DialogStyle
eu.siacs.conversations.voicerecorder.eval__      public android.support.v4.app.ActivityCompat21$Exception
eu.siacs.conversations.voicerecorder.eval_a      public android.support.v4.app.ActivityCompatJB$Exception
eu.siacs.conversations.voicerecorder.eval_b      public final android.support.v4.app.ActivityManagerCompat
eu.siacs.conversations.voicerecorder.eval_c      android.support.v4.app.ActivityCompatJB
eu.siacs.conversations.voicerecorder.eval_d      public android.support.v4.app.ActionBarDrawerToggleJellybeanMR2$ArrayOutOfBoundsException
eu.siacs.conversations.voicerecorder.eval_e      android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs
eu.siacs.conversations.voicerecorder.eval_f      public android.support.v4.app.ActivityCompatHoneycomb$ArrayOutOfBoundsException
eu.siacs.conversations.voicerecorder.eval_g      android.support.v4.app.ActionBarDrawerToggleHoneycomb
eu.siacs.conversations.voicerecorder.eval_h      android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatJellyBeanMr2
eu.siacs.conversations.voicerecorder.eval_i      public android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs$IOException
eu.siacs.conversations.voicerecorder.eval_j      android.support.v4.app.ActionBarDrawerToggleJellybeanMR2
eu.siacs.conversations.voicerecorder.eval_k      public android.support.v4.app.ActionBarDrawerToggle$Exception
eu.siacs.conversations.voicerecorder.eval_l      android.support.v4.app.ActivityCompatHoneycomb
eu.siacs.conversations.voicerecorder.eval_m      public android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat
eu.siacs.conversations.voicerecorder.eval_o      public android.support.v4.app.ActionBarDrawerToggleHoneycomb$IOException
eu.siacs.conversations.voicerecorder.eval_p      public android.support.v4.BuildConfig$NullPointerException
eu.siacs.conversations.voicerecorder.eval_q      public android.support.v4.app.ActivityCompat$ParseException
eu.siacs.conversations.voicerecorder.eval_r      public android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat$NullPointerException
eu.siacs.conversations.voicerecorder.eval_s      public android.support.v4.app.ActivityManagerCompatKitKat$NullPointerException
eu.siacs.conversations.voicerecorder.eval_t      public android.support.v4.app.ActivityCompat
eu.siacs.conversations.voicerecorder.eval_u      public android.support.v4.app.ActivityManagerCompat$Exception
eu.siacs.conversations.voicerecorder.eval_v      public android.support.v4.app.ActivityOptionsCompat
eu.siacs.conversations.voicerecorder.eval_w      public android.support.v4.app.ActionBarDrawerToggle
eu.siacs.conversations.voicerecorder.eval_x      public android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatJellyBeanMr2$ParseException
eu.siacs.conversations.voicerecorder.eval_y      android.support.v4.app.ActivityCompat21
eu.siacs.conversations.voicerecorder.eval_z      android.support.v4.app.ActivityManagerCompatKitKat
eu.siacs.conversations.voicerecorder.eval__0     public android.support.v4.view.accessibility.AccessibilityEventCompat$ParseException
eu.siacs.conversations.voicerecorder.eval__1     public abstract android.support.v4.view.ActionProvider
eu.siacs.conversations.voicerecorder.eval__2     android.support.v7.internal.view.menu.SubMenuWrapperICS
eu.siacs.conversations.voicerecorder.eval__3     public android.support.v4.app.BackStackState$ParseException
eu.siacs.conversations.voicerecorder.eval__4     public android.support.v4.content.ContextCompat
eu.siacs.conversations.voicerecorder.eval__5     public android.support.v7.widget.Toolbar$IOException
eu.siacs.conversations.voicerecorder.eval__6     public android.support.v7.widget.AppCompatTextView$IOException
eu.siacs.conversations.voicerecorder.eval__8     public android.support.v4.view.MenuCompat
eu.siacs.conversations.voicerecorder.eval__9     public android.support.v4.app.NotificationCompatJellybean$NullPointerException
eu.siacs.conversations.voicerecorder.eval___     public android.support.v7.widget.AppCompatAutoCompleteTextView
eu.siacs.conversations.voicerecorder.eval__a     public android.support.v4.content.ModernAsyncTask$ParseException
eu.siacs.conversations.voicerecorder.eval__b     public android.support.v7.internal.view.SupportMenuInflater
eu.siacs.conversations.voicerecorder.eval__c     public android.support.v4.app.NotificationManagerCompat
eu.siacs.conversations.voicerecorder.eval__d     android.support.v4.view.KeyEventCompatHoneycomb
eu.siacs.conversations.voicerecorder.eval__e     public android.support.v4.net.TrafficStatsCompat
